Name,Street,City,State,Phone,Website,Email,Type,Services,Comments,Hours
Lily Hospitals,,,,,lilyhospitals.com,"contact@lilyhospitals.com, frontdesk@lilyhospitals.com",Private,"Dermatology,Obstetrics and Gynecology,Audiology,Physiotherapy,Orthopedics,Paediatrics,In-patient care,Fertility,Nutritio and diatetics,Family care,Eye center,Ear-Nose-Throat,Diagnotics,Dental,Cardiology,IVF,Internships for medical doctors, radiographers, optometrists, and pharmacists","Numerous brances in Warri, Delta state","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
NGOZI HOSPITAL,,,,,,,,General hospital services,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Ekeoma Memorial Hospital,,,,,,stephenonwere@yahoo.com,Private,"Medical Services: Gastroenterology, Hematology,Surgical Services: General Surgery, Anaesthesia, Pediatric Surgery,Obstetrics and Gynecology Services: Obstetrics, Gynecology, Fertility/Assisted Reproductive Techniques,Pediatrics Services: Gastroenterology, Nephrology, Oncology, Endocrinology,Specific Clinical Services: Antenatal Care (ANC), Immunization, HIV/ AIDS, Non-Communicable Diseases, Family Planning, Intensive Care, Communicable Diseases, Hepatitis, Accidents and Emergency, Nutrition, Health Education, Community Mobilization, Maternal and newborn care,Onsite Laboratory,Outpatient Services,Inpatient Services,Onsite Laboratory,Onsite Imaging,Onsite Pharmacy,Ambulance Service","Child Friendly,Free Parking,Debit Cards","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Healing Cross Hospital,,,,,,,Private,General hospital services,Wheelchair-accessible entrance,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Hammersmith Medical Centre,,,,,,,Private,"General Hospital services,Health services,Centre for health care,Laboratory","Accepts Credit Cards,Street Parking,Pet Friendly,Reservation","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Madonna Catholic Hospital,,,,,info@mchumuahia.com,madonnacatholichospitalumuahia@gmail.com,Private,"Cardiology: Adult congenital heart disease (ACHD), and Respiratory medicine.,Pediatrics Services: Gastroenterology, Oncology,Obstetrics and Gynaecology: Routine care, Birth control, Fertility, Gynecologic cancer,Dietetic Services,Radiology,Physiotherapy,Dermatology,Laboratory Service,Mortuary Service",Emergency Service 24/7,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Horstman Hospital Limited,,,,,,,Private,"Medical Services: Gastroenterology, Hematology,Surgical Services: General Surgery, Anaesthesia, Pediatric Surgery,Obstetrics and Gynecology Services: Obstetrics, Gynecology, Fertility/Assisted Reproductive Techniques,Pediatrics Services: Gastroenterology, Nephrology, Oncology, Endocrinology,Specific Clinical Services: Antenatal Care (ANC), Immunization, HIV/ AIDS, Non-Communicable Diseases, Family Planning, Intensive Care, Communicable Diseases, Hepatitis, Accidents and Emergency, Nutrition, Health Education, Community Mobilization, Maternal and newborn care,Onsite Laboratory,Outpatient Services,Inpatient Services,Onsite Laboratory,Onsite Imaging,Onsite Pharmacy,Ambulance Service","Debit Cards,Free Parking,Child Friendly","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Obioma Hospital Maternity and Laboratory,,,,,obiomahospital.gnbo.com.ng,obiomahm@yahoo.com,Private,"Medical Services: Gastroenterology, Hematology,Surgical Services: General Surgery, Anaesthesia, Pediatric Surgery,Obstetrics and Gynecology Services: Obstetrics, Gynecology, Fertility/Assisted Reproductive Techniques,Pediatrics Services: Gastroenterology, Nephrology, Oncology, Endocrinology,Specific Clinical Services: Antenatal Care (ANC), Immunization, HIV/ AIDS, Non-Communicable Diseases, Family Planning, Intensive Care, Communicable Diseases, Hepatitis, Accidents and Emergency, Nutrition, Health Education, Community Mobilization, Maternal and newborn care,Onsite Laboratory,Outpatient Services,Inpatient Services,Onsite Laboratory,Onsite Imaging,Onsite Pharmacy,Ambulance Service","Debit Cards,Free Parking","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Blessed Haven Hospital Limited,,,,,,,Private,"Health services,Centre for health care,General Hospital services,Onsite Pharmacy","Debit Cards,Child Friendly","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Mercy Specialist Hospital,,,,,mercyspecialisthospital.org,info@mercyspecialisthospital.org,Missionary,"General Hospital services,Onsite Pharmacy","Debit Cards,Free Parking,Child Friendly","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Uzondu Hospital and Polyclinic,,,,,,,Public,"Health services,Centre for health care,General Hospital services","Debit Cards,Child Friendly,Free Parking,Wheelchair-accessible","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
The Lords Foundation Clinic,,,,,,,Private,"Health service,Centre for health care,General hospital services,Onsite Pharmacy","Accepts Credit Cards,Child Friendly,Street Parking,Reservation","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Abia State Specialist Hospital & Diagnostic Centre,,,,,abiaspecialisthospital.com.ng,Abiainfo@abiaspecialisthospital.com.ng,Public,"Dialysis,Birth Centers,Digonistics Testing,General Medical Practice,Emergency Care,Pharmacy,Laboratory Service","The first Dialysis Centre in the South East zone of the country,Ultra modern with much-in-demand diagnostic machines, where affordable and quality health care is offered.,Lot of facilities and equipment that has redirected medical tourism to its doors.,Very safe location.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Beacon Hospital,,,,,,,Private,Hospital and Clinic Services,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Bethsaida Specialist Hospital,,,,,,,Private,,Wheelchair-accessible,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Synapse Oak Unit,,,,,synapseservices.org/our-facilities-oak.html,synapse_oak@synapseservices.org,Private,"Substance misuse services/addiction services,Neuropsychiatry,Women's health,Child and adolescent mental health,Eating disorders,Personality Disorders Service,Deafness and mental health services,Learning Disabilities,Early intervention psychosis program,Attention Deficit Hyperactivity Disorder (ADHD),Acquired brain injury,Autistic spectrum disorders","Activity Programmes such as book club, music occupations, gardening, puzzles and card games, religious services,24 hours professional nursing care, private bedrooms most with en-suite; with laundry services, nurse call system in all rooms,Latest Technologies: The Repetitive Transcranial Magnetic Stimulation Machine (rTMS), is used for the treatment of drug addiction and/or psychotherapy,A large range of food menus and catering which respond to every special dietary requirements,Long stay supported accommodation","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
BEX MEMORIAL HOSPITAL,,,,,www.bexhospital.com,contact@bexhospital.com,Private,"Health Advice,Counselling and Consultation,Bex Dietetics: Learn Diet and its effects on health,Theatre: 21st Century state of art Surgical Theatre,Bex Dispensary: Pharmacy and Clinic,Bex Geriatrics: Home for the Old,Laboratory: Fully Equiped Medical Laboratory,Bex Imaging: With the help of technology, the interior body is visualized for medical analysis,Bex Diagnostics: Get Medical test runs, Results and professional Ultrasound scans,Physiotherapy: Physiotherapy and Rehabilitation,Bex Medical Assistant program",Friendly and Expert Doctors,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Chimex specialist hospital,,,,,chimexhospital.com,,Private,Medical Services,"Debit Cards,Free Parking,One of the largest speciality institutes located in Nnewi,Allows clients to receive comprehensive care of their medical conditions through cross consultations with different specialities","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Venik Specialist Hospital Maternity,,,,,,ikeokonowo_obeyn@yahoo.com,Private,"Medical Services: Nuclear Medicine,Surgical Services: General Surgery,Pediatrics Services,Specific Clinical Services: Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Hepatitis, Nutrition, Health Education and Community Mobilization, Maternal and newborn care,Obstetrics and Gynecology Services: Obstetrics, Gynecology,Onsite Pharmacy","Free Parking,Child Friendly,Debit Cards","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Asueifai Hospital,,,,,asueifai-hospital.business.site,asuefaihos@yahoo.com,Private,,Wheelchair-accessible,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Crest Hospital,,,,,,,Private,"Gynecological,Surgery,Pediatrics,General medical practice",,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Niger Delta University Teaching Hospital,,,,,nduth.org.ng,,Public,"Radiology,Dental and Maxillofacial,Otorhinolaryngology,Anaesthesia,Hematology,Orthopedics,Pediatrics,Obstetrics and Gynecology,Surgery,Specific Clinical Services: HIV/ AIDS, Family Planning, Community Medicine, Mental Health, Internal Medicine, Social Welfare","Qualified Staff of Doctors,Feel like you are at Home Services,24x7 Emergency Services,Easy and Affordable Billing","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Bayelsa Diagnostic Centre,,,,,bayelsadiagnostic.com,bdc@trigencraton.com,Public,"Cardiology,Pathology,Endoscopy,Radiology,Wellness","Bayelsa Diagnostic Centre (BDC) is a state-of-the-art facility that offers world class diagnostic services; the first of its kind in the region,At BDC, they believe in improving health and wellness through affordable health screening and diagnostic care,Advance technological imaging modalities and competent work force,Radiology department houses a Toshiba Vantage 1.5 Tesla MRI and digital X-ray systems","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
May Dental Hospital,,,,,may-dental-hospital.business.site,maydenthosp@yahoo.com,Private,"Teeth whitening,Dental implants,Cosmetic dentistry",,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Federal Medical Centre (FMC),,,,,fmcyenagoa.org.ng,info@fmcyenagoa.org.ng,Public,"DENTAL AND MAXILLOFACIAL SURGERY,Obstetrics and Gynecology,Dialysis,Pediatrics,Physiotherapy,Ophthalmology,NURSING SERVICES,CENTRAL STERILIZATION AND SUPPLY,Specific Clinical Services: DNA Testing, Antenatal Care (ANC), NUTRUTION & DIETETIC SERVICES, COMMUNITY MEDICINE/PUBLIC HEALTH, MENTAL HEALTH, FAMILY MEDICINE/ GOPD,Pharmacy,Cardiology,Laboratory","Free Checkup,Easy and Affordable Billing,PARKING SPACES: Spacious compound for car park,BUS ROUTES: Closest Bus stop is Hospital Junction,ACCESIBILITY: Use of ramps for easier access","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Yenagoa Hospital And Maternity,,,,,yenagoahospital.com,"Info@yenagoahospital.com, yenagoahosp@gmail.com",Public,"Medical Services,Maternity Care,Intensive care,Surgical,Pediatrics",Wheelchair-accessible,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Dialysis World Nigeria,,,,,,info@dialysisworldnigeria.org,Public,"Renal Dialysis & Transplant,International and Local dialysis training,Consultation services in dialysis unit set up,Operation & Management",Publishes health news and healthcare jobs,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Silhoutte Radiodiagnostic Consultants,,,,,,info@silhouette.com.ng,Private,"Radiography,Medical diagnosis,Fertility consulting,Blood test and hypertension treatment","Silhouette Radio-Diagnostic Consultants is a fast growing Medical firm, they are now also supplying medical equipment and sell online as well. Client can place order online and receive quick delivery,Good place for X-Ray, Scan, ECO and ECG,An excellent diagnostic facility that has expanded beyond radio-diagnostics and now offers the gamut of investigative tests be it Microbiology and Parasitology, Haematology and Chemical Pathology.Access for bedridden and wheelchair bound persons can be challenging for some procedures,Customer friendly and precise diagnostics","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
First Delta America Hospital,,,,,fdahospital.org,info@fdahospital.org,Private,"RADIOLOGY,INPATIENT HEALTH CARE,CONCIERGE MEDICINE,MULTI-SPECIALIST OUTPATIENT CLINIC,EMERGENCY & TRAUMA MANAGEMENT,TELEMEDICINE,PHARMACY,LABORATORY,IMMUNIZATION,HEALTH AND LIFESTYLE CLASSES,Ambulance,SLEEP STUDY","Wheelchair-accessible,Comfortable rooms with 24 hours power supply","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
St. Joseph's Catholic Hospital,,,,,,stjoseph.catholichospital@yahoo.com,Public,General Hospital services,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Capitol Hill Clinic & Hospital,,,,,capitolhillhospitals.com.ng,"info@capitolhillhospitals.com.ng, ccapitolhillclinic@yahoo.com",Private,"General Medicine,Dentistry,Spirometry,Neurology,Pediatrics,Dialysis,Radiology,Specialist Consultation,OCCUPATIONAL HEALTH (OH),Hearing Conservation, Fabrication & Fitting","Providing treatment that is personal and relevant to individual needs of patients,Respecting the rights and dignity of patients, customers and employees,Consciously improving care processes for better service delivery,Fully equipped with the most recent -state-of-the-art medical facilities,Welcome feedback to improve service","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Humanity Hospital,,,,,humanityhospitals.com,info@humanityhospitals.com,Private,"Orthopedics,Specialist Consultation,Physiotherapy,Specific Clinical Services: Antenatal Care (ANC), Child Health, Ear-Nose-Throat, Internal medicine, Immunization,Urology,General Medicine,Surgery,Dermatology,Obstetrics and Gynecology,Radiology,Cardiology,Respiratory Medicine,Diagnostic/Laboratory Services,Pharmacy","24/7 Emergency Services,24 Hours Blood Bank","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Anioma Hospital,,,,,aniomahospital.com,info@aniomahospital.com,Public,"General Surgery,Urology,Laparoscopic Surgery,CT-Scan,Anaesthesia,Radiology,Dermatology,Obstetrics and Gynecology,Internal medicine,General & Family Medicine,Pharmacy","Affordable Services,Neat Environment,Quality Equipment,Surgical Videos: Surgeries are electronic. For this reason, there is a video documentaries of each surgery performed. Patients can have copies of their videos for their own records","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
"General Hospital, Ibusa",,,,,,ghibusa@gmail.com,Public,"Surgical Services: General Surgery, Anaethesia,Specific Clinical Services: Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Hepatitis, Accidents and Emergency, Nutrition,Onsite Laboratory,Onsite Pharmacy,Ambulance Service,Mortuary Service",Affordable Services,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Ufor Hospital,,,,,www.uforhospital.com,UFOR_HOSPITAL@YAHOO.CO.UK,Private,"General Medical service,Surgery,Obstetrics and Gynecology",Wheelchair-accessible,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Lana Hospital,,,,,lanahospital.com,info@lanahospital.com,Private,"General Practice,Emergency,Neurology,Surgical Services,Laboratory Service,Radiology,Obstetrics and Gynecology,Pediatric care,Diabetic Care,Antenatal Services,Pahrmaceutical Advice","Putting the patient first,Clean and comfortable environment,Competent and passionate staffing,Innovation and the application of advance technology in medicine","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Central Hospital,,,,,,,Private,"General body treatment,Surgery",,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
General Hospital,,,,,,,Public,Medical Services,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Federal Medical Centre (FMC),,,,,fmcasaba.org,info@fmcasaba.org,Public,"Accident and Emergency,Dentistry,Hematology,Patholgy,Radiology,Surgery,Pediatrics,Surgery,Ophthalmology,Physiotherapy,Specific Clinical Services: Center for communicable disease control and reseach, Social Welfare, Family Medicine, Internal Medicine,PHARMACY,NURSING SERVICES,Stores and Supply","SERVICOM,Affordable healthcare Services,Clean and comfortable environment","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Central Hospital,,,,,,info@central-care.org.ng,Public,"Cardiology,Pediatrics,Obstetrics,Gynecology,Physiotherapy,Dentistry,Ophthalmology,Surgery,ENT Departments,Orthopedics & Traumatology,Internal medicine",,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
University of Benin Teaching Hospital (UBTH),,,,,ubth.org,info@ubth.org,Public,"Orthopedics & Traumatology,Radiotherapy & Clinical Oncology,Physiotherapy,Surgery,Radiology,Obstetrics and Gynecology,Pharmacy,Child health,Family medicine,Internal Medicine,Occupational therapy,UBTH paramedic program,Well persons clinic","Fully integrated Accident centre,Fully functional Oxygen production plant to effectively meet the need of the hospital,Facilities for over 900 in-patients,Wheelchair-accessible,Functioning renal dialysis centre, CT scanning centre,Ophthalmic and Oncology complexes,Endoscopy for special investigation,Integrated consultant clinic,Institutionalized private practice building,A transit home for patients relations and friends","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Eseohe Medical Centre,,,,,,andyposki@gmail.com,Private,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Fate Medical Centre,,,,,,,Private,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Eromosele Medical Centre,,,,,,,Private,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Mount Gilead Hospital,,,,,mount-gilead-hospital.business.site, mtgilead2004@yahoo.com,Private,Medical Services,Affordable care using modern technological advances in medicine,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Edi International Hospital Ltd,,,,,edi-hospital.squarespace.com,,Private,"General Practice,Pediatrics,Obstetrics and Gynecology,Endocrinology,Neurology,Urology,General Surgery,Pediatric Surgery,Orthopedics,Plastics/Burns/Reconstructive Surgery,Dentistry,Physiotherapy,Ophthalmology,Epidemiology,Public health services,Pharmacy,Diagnostic/Laboratory Services,Ambulance Service,Mortuary Service","Dual band DSTV cable entertainment to enable patients recuperate in comfort,Two operating Theatres,A Recovery Room,A Delivery Suit","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Irrua Specialist Teaching Hospital (ISTH),,,,,isth.org.ng,"info@isth.org.ng, irruateachhosp@yahoo.com ",Public,"Emergency Medical Care 24/7,Trauma & intensive care,Diagnosis & Investigation,Medical & Surgical,Mental Health,Rehabitation,Specialised Support Service,Aged Care,Community Service","The vegetation is mixed rain forest and transition Guinea Savanna,ISTH has hundreds of specialist and almost two thousand staff all set for you total health,Affordable, accessible and qualitative promotive, preventive and curative health care services,Engage in research and teaching activities,Serve as a Centre of Excellence for the diagnosis, management and control of Lassa Fever","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Igbinedion University Teaching Hospital,,,,,iuokada.edu.ng,iuthokada@gmail.com,Private,"Medicine,Surgery,Paediatrics,Obstetrics and Gynecology,Dentistry,Physiotherapy,Radiology,Cardiology,Anaesthesia,Community health",A teaching hospital,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Lily Hospitals,,,,,lilyhospitals.com,"contact@lilyhospitals.com, frontdesk@lilyhospitals.com",Private,"Dermatology,Obstetrics and Gynecology,Audiology,Physiotherapy,Orthopedics,Paediatrics,In-patient care,Fertility,Nutritio and diatetics,Family care,Eye center,Ear-Nose-Throat,Diagnotics,Dental,Cardiology,IVF,Internships for medical doctors, radiographers, optometrists, and pharmacists",Numerous brances in Edo state,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Bethel Faith Medical Centre,,,,,bethelfaithmedicalcentre.com,bethelfaithmedi2008@gmail.com,Private,"GENERAL PRACTICE,PHARMACY,OPTICAL,LABORATORY,ANTENATAL,EMERGENCY,RADIOLOGY",,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Michael Memorial Medical Centre,,,,,,,Public,"Neurological,Rehabilitation,Counselling/psychotherapy,Care of the elderly,Half-way home service",State-of-the-art specialist mental health and addiction clinic,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
ISDA HOSPITAL,,,,,,,Private,Full-service healthcare,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
ST. NICHOLAS HOSPITAL,,,,,saintnicholashospital.com,"info@saintnicholashospital.com, clientservice@saintnicholashospital.com",Private,"Endoscopy,Nursing,Radiology,Orthopaedics & Trauma Unit,Dialysis,Pharmacy,Obstetrics & Gynaecology,Intensive care unit,Neurology",Over 50 years experience in health care services,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Motayo Hospital,,,,,motayohospitallimited.com,motayo_hospital@yahoo.com,Private,"Dermatology,Nutrition & Dietetics,Neurosurgery,Urology,Otorhinolaryngology,Dentistry,Radiology,Physiotherapy,General Surgery,General Practice,Comprehensive Health Screening,Internal Medicine,Laboratory,Paediatrics,Pre-Employment Medicals,Family medicine,Ophthalmology,Obstetrics & Gynaecology,Domestic Help Screening Test,Routine Health Check","Over three decades wealth of efficient professional services, care and experience,There is enough space for parking right in front of its main building.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Blooming Care Hospital,,,,,,bloomingcarehospital@gmail.com,Private,"Laboratory,Medical Services","Very clean and safety first,One place to get a quick medical care a good rate. Also offer HMO services,Unique in it's own style. Caring doctor and friendly nurses","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Isioma Hospital,,,,,,isiomahospital@yahoo.com,Private,"Pediatrics Services: Neonatology,Obstetrics & Gynaecology,Surgical Services: Ophthalmology, General Surgery, Orthopedic Surgery, Urology,Medical Services: Gastroenterology, Hematology, Endocrinology, Neurology, Infectious Diseases, Family Medicine,Special Clinical Services: Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Maternal and newborn care,Onsite Laboratory,Onsite Pharmacy",Facility Level: Isioma Hospital is a Secondary Health Care Centre,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
"General Hospital, Lagos Island",,,,,,,Public,"General Medical service,Outpatient Services,Surgery,Obstetrics & Gynaecology,Paediatrics,Emergency Care,Ophthalmology,Psychiatry,Dermatology,Neurology,Endocrinology,Urology,Dentistry,Dietetics and Nutrition,ENT radiological services,Laboratory Service","1st premier general Hospital in Nigeria,Wheelchair-accessible,Free Parking is very limited, but there is park n pay for N500 negotiable,Government owned hospital. They have qualified and some of the best professionals in medicine. Official documents and medical tests are conducted here for purposed of education, job and travel,A seemingly decent hospital which is pretty accessible and has a calm environment. Its neat and well maintained but the facilities need an upgrade,You can get the best and any medical help at the general hospital but you have to be very patient as there are limited hands doing the job over there,Accessible from CMS or TBS","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
